,National Level Pivots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,No. VHWs,,,,,,,Count of PHONE NUMBER,Column Labels,,,,,,,,,,,,,,,,,,Row Labels,Count of DATAQUALITY
,,No. VHWs,,,,,F,M,(blank),Grand Total,,,Row Labels,<20 or (blank),20-29,30-39,40-49,50-59,60-70,>70,Grand Total,,,,,,,,,,,MANICALAND,3374
,BULAWAYO,283,,,,BULAWAYO,130,19,134,283,,,BULAWAYO,78,9,21,66,59,39,11,283,,,,,,,,,,,MASH EAST,3259
,HARARE,690,,,,HARARE,637,53,,690,,,HARARE,3,51,94,190,161,114,77,690,,,,,,,,,,,MASH WEST,3251
,MANICALAND,"3,354",,,,MANICALAND,"2,915",430,9,"3,354",,,MANICALAND,26,29,338,1099,1283,423,156,3354,,,,,,,,,,,MASVINGO,3139
,MASH  CENTRAL,"2,178",,,,MASH  CENTRAL,"1,630",548,,"2,178",,,MASH  CENTRAL,4,13,194,756,860,267,84,2178,,,,,,,,,,,MIDLANDS,2318
,MASH EAST,"2,929",,,,MASH EAST,"2,513",416,,"2,929",,,MASH EAST,82,9,236,854,1027,424,297,2929,,,,,,,,,,,MASH  CENTRAL,2179
,MASH WEST,"3,088",,,,MASH WEST,"2,267",685,136,"3,088",,,MASH WEST,114,21,307,1023,1213,332,78,3088,,,,,,,,,,,MAT SOUTH,1872
,MASVINGO,"2,950",,,,MASVINGO,"2,530",393,27,"2,950",,,MASVINGO,20,55,376,1092,1067,282,58,2950,,,,,,,,,,,MAT NORTH,1589
,MAT NORTH,"1,590",,,,MAT NORTH,"1,322",267,1,"1,590",,,MAT NORTH,8,12,112,437,639,332,50,1590,,,,,,,,,,,HARARE,690
,MAT SOUTH,"1,605",,,,MAT SOUTH,"1,505",100,,"1,605",,,MAT SOUTH,7,25,184,508,649,194,38,1605,,,,,,,,,,,BULAWAYO,357
,MIDLANDS,"2,096",,,,MIDLANDS,"1,594",495,7,"2,096",,,MIDLANDS,30,8,163,553,928,348,66,2096,,,,,,,,,,,Grand Total,22028
,Grand Total,"20,763",,,,Grand Total,"17,043","3,406",314,"20,763",,,Grand Total,372,232,2025,6578,7886,2755,915,20763,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Row Labels,Q1 Active VHWs,Q2 Active VHWs,,Row Labels,Average of % Active Q1,Average of % Active Q2,,,,,,,,,,,,,,,,,,,,,
,,No. VHWs,,,,BULAWAYO,280,281,,BULAWAYO,100%,28100%,,,,,,,,,,,,,,,,,,,,,
,F,"17,043",,,,HARARE,631,631,,HARARE,100%,63100%,,,,,,,,,,,,,,,,,,,,,
,M,"3,406",,,,MANICALAND,3320,3322,,MANICALAND,100%,332200%,,,,,,,,,,,,,,,,,,,,,
,(blank),314,,,,MASH  CENTRAL,2157,2157,,MASH  CENTRAL,100%,215700%,,,,,,,,,,,,,,,,,,,,,
,Grand Total,"20,763",,,,MASH EAST,2899,2896,,MASH EAST,100%,289600%,,,,,,,,,,,,,,,,,,,,,
,,,,,,MASH WEST,2987,2982,,MASH WEST,100%,298200%,,,,,,,,,,,,,,,,,,,,,
,,,,,,MASVINGO,2713,2775,,MASVINGO,100%,277500%,,,,,,,,,,,,,,,,,,,,,
,,,,,,MAT NORTH,1555,1541,,MAT NORTH,100%,154100%,,,,,,,,,,,,,,,,,,,,,
,,,,,,MAT SOUTH,1588,1592,,MAT SOUTH,100%,159200%,,,,,,,,,,,,,,,,,,,,,
,,,,,,MIDLANDS,2040,2040,,MIDLANDS,100%,204000%,,,,,,,,,,,,,,,,,,,,,
,,,,,,Grand Total,20170,20217,,Grand Total,100%,2021700%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provincial Level Pivots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROVINCE,MASH  CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No. VHWs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BINDURA,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CENTENARY,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GURUVE,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAZOWE,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBIRE,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOUNT DARWIN,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RUSHINGA,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SHAMVA,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Total,"2,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROVINCE,MASH  CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Count of PHONE NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<20 or (blank),20-29,30-39,40-49,50-59,60-70,>70,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,
,BINDURA,1,3,28,104,67,59,13,275,,,,,,,,,,,,,,,,,,,,,,,,
,CENTENARY,,1,24,94,106,30,7,262,,,,,,,,,,,,,,,,,,,,,,,,
,GURUVE,,,4,47,74,27,4,156,,,,,,,,,,,,,,,,,,,,,,,,
,MAZOWE,1,2,38,121,151,76,30,419,,,,,,,,,,,,,,,,,,,,,,,,
,MBIRE,,,22,87,60,3,2,174,,,,,,,,,,,,,,,,,,,,,,,,
,MOUNT DARWIN,1,1,28,121,191,42,20,404,,,,,,,,,,,,,,,,,,,,,,,,
,RUSHINGA,,1,11,89,117,9,,227,,,,,,,,,,,,,,,,,,,,,,,,
,SHAMVA,1,5,39,93,94,21,8,261,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Total,4,13,194,756,860,267,84,"2,178",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROVINCE,MASH  CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No. VHWs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F,M,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BINDURA,243,32,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CENTENARY,203,59,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GURUVE,117,39,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAZOWE,394,25,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBIRE,98,76,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOUNT DARWIN,230,174,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RUSHINGA,121,106,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SHAMVA,224,37,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Total,"1,630",548,"2,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROVINCE,MASH  CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Average of % Active Q1,Sum of % Active Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BINDURA,275,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CENTENARY,262,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GURUVE,150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAZOWE,419,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBIRE,165,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOUNT DARWIN,403,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RUSHINGA,222,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SHAMVA,261,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Total,"2,157","2,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
