"id","district_name","district_code","province_id","created_at"
"1","Buhera","MA-01","1","2026-04-08 09:08:31"
"2","Chimanimani","MA-02","1","2026-04-08 09:08:31"
"3","Chipinge","MA-03","1","2026-04-08 09:08:31"
"4","Makoni","MA-04","1","2026-04-08 09:08:31"
"5","Mutare","MA-06","1","2026-04-08 09:08:31"
"6","Mutasa","MA-07","1","2026-04-08 09:08:31"
"7","Nyanga","MA-08","1","2026-04-08 09:08:31"
"8","Rusape","MA-09","1","2026-04-08 09:08:31"
"9","Bindura","MC-01","2","2026-04-08 09:08:31"
"10","Centenary","MC-02","2","2026-04-08 09:08:31"
"11","Guruve","MC-03","2","2026-04-08 09:08:31"
"12","Mazowe","MC-04","2","2026-04-08 09:08:31"
"13","Mbire","MC-05","2","2026-04-08 09:08:31"
"14","Mount Darwin","MC-06","2","2026-04-08 09:08:31"
"15","Muzarabani","MC-07","2","2026-04-08 09:08:31"
"16","Mvurwi","MC-08","2","2026-04-08 09:08:31"
"17","Rushinga","MC-09","2","2026-04-08 09:08:31"
"18","Shamva","MC-10","2","2026-04-08 09:08:31"
"19","Chikomba","ME-01","3","2026-04-08 09:08:31"
"20","Goromonzi","ME-02","3","2026-04-08 09:08:31"
"21","Marondera","ME-03","3","2026-04-08 09:08:31"
"22","Murehwa","ME-04","3","2026-04-08 09:08:31"
"23","Mutoko","ME-05","3","2026-04-08 09:08:31"
"24","Ruwa","ME-06","3","2026-04-08 09:08:31"
"25","Seke","ME-07","3","2026-04-08 09:08:31"
"26","Uzumba-Maramba-Pfungwe","ME-08","3","2026-04-08 09:08:31"
"27","Hwedza","ME-09","3","2026-04-08 09:08:31"
"28","Marondera Rural","ME-10","3","2026-04-08 09:08:31"
"29","Chegutu","MW-01","4","2026-04-08 09:08:31"
"30","Hurungwe","MW-02","4","2026-04-08 09:08:31"
"31","Kadoma","MW-03","4","2026-04-08 09:08:31"
"32","Kariba","MW-04","4","2026-04-08 09:08:31"
"33","Karoi","MW-05","4","2026-04-08 09:08:31"
"34","Makonde","MW-06","4","2026-04-08 09:08:31"
"35","Mhondoro-Ngezi","MW-07","4","2026-04-08 09:08:31"
"36","Norton","MW-08","4","2026-04-08 09:08:31"
"37","Sanyati","MW-09","4","2026-04-08 09:08:31"
"38","Zvimba","MW-10","4","2026-04-08 09:08:31"
"39","Bikita","MV-01","5","2026-04-08 09:08:31"
"40","Chivi","MV-02","5","2026-04-08 09:08:31"
"41","Gutu","MV-03","5","2026-04-08 09:08:31"
"42","Masvingo Rural","MV-04","5","2026-04-08 09:08:31"
"43","Masvingo Urban","MV-05","5","2026-04-08 09:08:31"
"44","Mwenezi","MV-06","5","2026-04-08 09:08:31"
"45","Zaka","MV-07","5","2026-04-08 09:08:31"
"46","Chiredzi","MV-08","5","2026-04-08 09:08:31"
"47","Hwange Rural","MN-01","6","2026-04-08 09:08:31"
"48","Hwange Urban","MN-02","6","2026-04-08 09:08:31"
"49","Lupane","MN-03","6","2026-04-08 09:08:31"
"50","Nkayi","MN-04","6","2026-04-08 09:08:31"
"51","Tsholotsho","MN-05","6","2026-04-08 09:08:31"
"52","Umguza","MN-06","6","2026-04-08 09:08:31"
"53","Victoria Falls","MN-07","6","2026-04-08 09:08:31"
"54","Binga","MS-01","7","2026-04-08 09:08:31"
"55","Bubi","MS-02","7","2026-04-08 09:08:31"
"56","Gwanda Rural","MS-03","7","2026-04-08 09:08:31"
"57","Gwanda Urban","MS-04","7","2026-04-08 09:08:31"
"58","Insiza","MS-05","7","2026-04-08 09:08:31"
"59","Mangwe Rural","MS-06","7","2026-04-08 09:08:31"
"60","Mangwe Urban","MS-07","7","2026-04-08 09:08:31"
"61","Matobo","MS-08","7","2026-04-08 09:08:31"
"62","Umzingwane","MS-09","7","2026-04-08 09:08:31"
"63","Beitbridge","MS-10","7","2026-04-08 09:08:31"
"64","Bulilima","MS-11","7","2026-04-08 09:08:31"
"65","Chirumhanzu","MI-01","8","2026-04-08 09:08:31"
"66","Gokwe North","MI-02","8","2026-04-08 09:08:31"
"67","Gokwe South","MI-03","8","2026-04-08 09:08:31"
"68","Gokwe Urban","MI-04","8","2026-04-08 09:08:31"
"69","Gweru Rural","MI-05","8","2026-04-08 09:08:31"
"70","Gweru Urban","MI-06","8","2026-04-08 09:08:31"
"71","Kwekwe","MI-08","8","2026-04-08 09:08:31"
"72","Mberengwa","MI-09","8","2026-04-08 09:08:31"
"73","Redcliff","MI-10","8","2026-04-08 09:08:31"
"74","Shurugwi Rural","MI-11","8","2026-04-08 09:08:31"
"75","Shurugwi Urban","MI-12","8","2026-04-08 09:08:31"
"76","Zvishavane Rural","MI-13","8","2026-04-08 09:08:31"
"77","Zvishavane Urban","MI-14","8","2026-04-08 09:08:31"
"78","Chitungwiza","HA-01","9","2026-04-08 09:08:31"
"79","Epworth","HA-02","9","2026-04-08 09:08:31"
"80","Harare Rural","HA-03","9","2026-04-08 09:08:31"
"81","Harare Urban","HA-04","9","2026-04-08 09:08:31"
"82","Bulawayo Central","BU-01","10","2026-04-08 09:08:31"
"83","Bulawayo West","BU-02","10","2026-04-08 09:08:31"
"84","Bulawayo Suburbs","BU-03","10","2026-04-08 09:08:31"
"85","Nkulumane","BU-04","10","2026-04-08 09:08:31"
